ED,Name,Min,Max
1,FURMAN,NA,NA
1,GRACE,NA,NA
1,MIDDAGH,NA,NA
1,MONTAGUE,NA,NA
1,PIERREPONT,NA,NA
1,PINEAPPLE,NA,NA
1,REMSEN,NA,NA
1,NA,NA,NA
2,FLEET ALY,NA,NA
2,FRONT,NA,NA
2,FULTON,NA,NA
2,GARRISON,NA,NA
2,HOWARDS CT,NA,NA
2,JAMES,NA,NA
2,MAIN,NA,NA
2,MARKET,NA,NA
2,MERCEIN,NA,NA
2,MITCHELS WHARF,NA,NA
2,PEARL,NA,NA
2,WASHINGTON,NA,NA
2,WATER,NA,NA
2,YORK,NA,NA
2,NA,NA,NA
3,FULTON,NA,NA
3,NA,NA,NA
4,BRG,NA,NA
4,FULTON,NA,NA
4,JAY,NA,NA
4,LIBERTY PL,NA,NA
4,NASSAU,NA,NA
4,STRYKERS CT,NA,NA
4,WASHINGTON,NA,NA
4,NA,NA,NA
5,BRG,NA,NA
5,GOLD,NA,NA
5,MARSHALL,NA,NA
5,NA,NA,NA
6,BALTIC,NA,NA
6,BUSH,NA,NA
6,CENTRE,NA,NA
6,CHURCH,NA,NA
6,CLINTON,NA,NA
6,COLES,NA,NA
6,COLUMBIA,NA,NA
6,CONOVER,NA,NA
6,DIKEMAN,NA,NA
6,DWIGHT,NA,NA
6,ELIZABETH,NA,NA
6,FERRIS,NA,NA
6,HALLECK,NA,NA
6,HUNTINGTON,NA,NA
6,LEONARD,NA,NA
6,MILL,NA,NA
6,OSAGE WHARF,NA,NA
6,OTSEGO,NA,NA
6,PARTITION,NA,NA
6,PERCIVAL,NA,NA
6,RAPELYE,NA,NA
6,RICHARDS,NA,NA
6,SIGOURNEY,NA,NA
6,SULLIVAN,NA,NA
6,VAN BRUNT,NA,NA
6,VAN DYKE,NA,NA
6,WALCOTT,NA,NA
6,WARREN,NA,NA
6,WOLSEY WHARF,NA,NA
6,NA,NA,NA
7,ATLANTIC,NA,NA
7,ATLANTIC AVE,NA,NA
7,BEDFORD AVE,NA,NA
7,BREVOORT PL,NA,NA
7,CLASSON AVE,NA,NA
7,FLEET,NA,NA
7,FLUSHING AVE,NA,NA
7,FRANKLIN,NA,NA
7,FRANKLIN AVE,NA,NA
7,FULTON,NA,NA
7,GRAHAM,NA,NA
7,GWINNETT,NA,NA
7,HANCOCK,NA,NA
7,HARRISON AVE,NA,NA
7,HEYWARD,NA,NA
7,HICKORY,NA,NA
7,HOPKINS,NA,NA
7,JAMAICA AVE,NA,NA
7,KENT AVE,NA,NA
7,LEE AVE,NA,NA
7,LYNCH,NA,NA
7,MADISON,NA,NA
7,MARCY AVE,NA,NA
7,MORTON,NA,NA
7,MYDDLETON,NA,NA
7,NOSTRAND AVE,NA,NA
7,PUTNAM,NA,NA
7,THROOP AVE,NA,NA
7,WALTON,NA,NA
7,WYTHE AVE,NA,NA
7,NA,NA,NA
8,0,NA,NA
8,1,NA,NA
8,1 AVE,NA,NA
8,10,NA,NA
8,10 AVE,NA,NA
8,11,NA,NA
8,11 AVE,NA,NA
8,12,NA,NA
8,13,NA,NA
8,14,NA,NA
8,15,NA,NA
8,16,NA,NA
8,17,NA,NA
8,18,NA,NA
8,19,NA,NA
8,2,NA,NA
8,2 AVE,NA,NA
8,20,NA,NA
8,21,NA,NA
8,22,NA,NA
8,23,NA,NA
8,24,NA,NA
8,25,NA,NA
8,26,NA,NA
8,27,NA,NA
8,28,NA,NA
8,29,NA,NA
8,3,NA,NA
8,3 AVE,NA,NA
8,30,NA,NA
8,31,NA,NA
8,32,NA,NA
8,33,NA,NA
8,34,NA,NA
8,35,NA,NA
8,36,NA,NA
8,37,NA,NA
8,38,NA,NA
8,39,NA,NA
8,4,NA,NA
8,40,NA,NA
8,41,NA,NA
8,42,NA,NA
8,43,NA,NA
8,44,NA,NA
8,45,NA,NA
8,46,NA,NA
8,49,NA,NA
8,5,NA,NA
8,5 AVE,NA,NA
8,50,NA,NA
8,51,NA,NA
8,52,NA,NA
8,53,NA,NA
8,54,NA,NA
8,55,NA,NA
8,56,NA,NA
8,57,NA,NA
8,6,NA,NA
8,6 AVE,NA,NA
8,7,NA,NA
8,7 AVE,NA,NA
8,8,NA,NA
8,8 AVE,NA,NA
8,9,NA,NA
8,9 AVE,NA,NA
8,BALTIC,NA,NA
8,BATH PLANK RD,NA,NA
8,BRAXTON,NA,NA
8,BUTLER,NA,NA
8,CARROLL,NA,NA
8,DEGRAW,NA,NA
8,DOUGLAS,NA,NA
8,DOUGLASS,NA,NA
8,FLATBUSH AVE,NA,NA
8,FLATBUSH RD,NA,NA
8,MACOMB,NA,NA
8,MIDDLE,NA,NA
8,MONTGOMERY,NA,NA
8,PRESIDENT,NA,NA
8,SACKETT,NA,NA
8,UNDERHILL AVE,NA,NA
8,UNION,NA,NA
8,VANDERBILT AVE,NA,NA
8,WARREN,NA,NA
8,WYKOFF,NA,NA
8,NA,NA,NA
9,9 WARD AVE,NA,NA
9,ALBANY AVE,NA,NA
9,BAINBRIDGE,NA,NA
9,BEDFORD AVE,NA,NA
9,BERGEN,NA,NA
9,BROOKLYN AVE,NA,NA
9,BROOKLYN JAMAICA TURNPIKE,NA,NA
9,BUFFALO AVE,NA,NA
9,BUTLER,NA,NA
9,CANARSIE RD,NA,NA
9,CARROLL,NA,NA
9,CLARKSON AVE,NA,NA
9,CROWN,NA,NA
9,DECATUR,NA,NA
9,DEGHAW,NA,NA
9,DEGRAW,NA,NA
9,DOUGLAS,NA,NA
9,DOUGLASS,NA,NA
9,ELLERY,NA,NA
9,FLATBUSH AVE,NA,NA
9,FLATBUSH RD,NA,NA
9,FRANKLIN AVE,NA,NA
9,FULTON,NA,NA
9,GRAND AVE,NA,NA
9,GREENE,NA,NA
9,HALSEY,NA,NA
9,HERKIMER,NA,NA
9,HICKORY,NA,NA
9,HOPKINS,NA,NA
9,HOPKINSON AVE,NA,NA
9,HOWARD AVE,NA,NA
9,LEWIS,NA,NA
9,LONG ISLAND RR,NA,NA
9,MACDONOUGH,NA,NA
9,MACON,NA,NA
9,MCDONOUGH,NA,NA
9,MONTGOMERY,NA,NA
9,NEW YORK AVE,NA,NA
9,NOSTRAND AVE,NA,NA
9,PACIFIC,NA,NA
9,PARK AVE,NA,NA
9,PERRY AVE,NA,NA
9,PRESIDENT,NA,NA
9,PULASKY,NA,NA
9,RALPH AVE,NA,NA
9,REED AVE,NA,NA
9,ROCHESTER AVE,NA,NA
9,RODGERS AVE,NA,NA
9,SACKETT,NA,NA
9,SARATOGA AVE,NA,NA
9,SCHNECTADY AVE,NA,NA
9,SCHUYLER,NA,NA
9,SOMERS,NA,NA
9,STONE AVE,NA,NA
9,TROY AVE,NA,NA
9,TRUXTON,NA,NA
9,UNDERHILL AVE,NA,NA
9,UNION,NA,NA
9,UTICA AVE,NA,NA
9,WARREN,NA,NA
9,WASHINGTON AVE,NA,NA
9,WOTHERSPOON,NA,NA
9,NA,NA,NA
10,1,NA,NA
10,1 AVE,NA,NA
10,10,NA,NA
10,12,NA,NA
10,2,NA,NA
10,3,NA,NA
10,4,NA,NA
10,5,NA,NA
10,5 AVE,NA,NA
10,6,NA,NA
10,9,NA,NA
10,BAY,NA,NA
10,CARROLL,NA,NA
10,CENTRE,NA,NA
10,FLATBUSH AVE,NA,NA
10,FULTON,NA,NA
10,GOWANUS LN,NA,NA
10,GOWANUS RD,NA,NA
10,GRINNELL,NA,NA
10,GROVE PL,NA,NA
10,HAMILTON AVE BRG,NA,NA
10,HOYT,NA,NA
10,LEONARD,NA,NA
10,LIVINGSTON,NA,NA
10,LUQUER,NA,NA
10,NELSON,NA,NA
10,NEVINS,NA,NA
10,PRESIDENT,NA,NA
10,SIGOURNEY,NA,NA
10,SMITH,NA,NA
10,NA,NA,NA
11,ADELPHI,NA,NA
11,AUBURN PL,NA,NA
11,CARLTON AVE,NA,NA
11,CLERMONT,NA,NA
11,CLINTON AVE,NA,NA
11,CUMBERLAND,NA,NA
11,DIVISION,NA,NA
11,FLATBUSH AVE,NA,NA
11,FULTON,NA,NA
11,HAMILTON,NA,NA
11,HANSON,NA,NA
11,HEMPDEM,NA,NA
11,JAMAICA AVE,NA,NA
11,MYRTLE AVE,NA,NA
11,N PORTLAND AVE,NA,NA
11,PARK AVE,NA,NA
11,RAYMOND,NA,NA
11,TILLARY,NA,NA
11,VANDERBILT AVE,NA,NA
11,WILLOUGHBY AVE,NA,NA
11,NA,NA,NA
