ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59
1,COLUMBIA HTS,CRANBERRY,DOUGHTY,ELIZABETH PL,FRONT,FULTON,FURMAN,HICKS,MCKENNEY,MIDDAGH,POPLAR,VINE,WILLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,CLARK,COLUMBIA HTS,CRANBERRY,FURMAN,HICKS,LOVE LN,ORANGE,PIERREPONT PL,PIERREPONT,PINEAPPLE,WILLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,COLUMBIA HTS,COLUMBIA PL,FURMAN,GRACE CT ALY,GRACE CT,HICKS,JORALEMON,MONTAGUE,MONTAGUE TER,PIERREPONT PL,PIERREPONT,REMSEN,STATE,WILLOW PL,WILLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ATLANTIC AVE,COLUMBIA PL,COLUMBIA,EMMETT,FURMAN,HICKS,JORALEMON,STATE,WILLOW PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,CRANBERRY,DOUGHTY,FULTON,HENRY,HICKS,HIGH,MAIN,MIDDAGH,NASSAU,ORANGE,PINEAPPLE,POPLAR,PROSPECT,SANDS,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,CLARK,CLINTON,COLLEGE PL,CONCORD,FULTON,HENRY,HICKS,JOHNSON,LOVE LN,MONROE PL,MONTAGUE,PIERREPONT,PINEAPPLE,SPRAGUES ALY,TILLARY,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ADAMS,ATLANTIC AVE,BOERUM PL,CLINTON,CT,FULTON,JORALEMON,LIVINGSTON,MONTAGUE,REMSEN,SCHERMERHORN,STATE,WASHINGTON,WILLOUGHBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ATLANTIC AVE,CLINTON,HENRY,HUNTS LN,JORALEMON,LIVINGSTON,MONTAGUE,REMSEN,SCHERMERHORN,SIDNEY PL,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ATLANTIC AVE,GARDEN PL,GRACE CT ALY,GRACE CT,HENRY,HICKS,JORALEMON,MONTAGUE,REMSEN,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,COLUMBIA HTS,DOCK,ELIZABETH PL,FRONT,FULTON,FURMAN,GARRISON,HARRISON CT,HENRY,HICKS,HOWARD CT,JAMES,MAIN,MERCEIN,PLYMOUTH,PROSPECT,SANDS,. ANNS CT,WASHINGTON,WATER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,ADAMS,FLEETS ALY,FLINT,FRONT,HOWARD CT,MAIN,PLYMOUTH,PROSPECT,SANDS,. ANNS CT,STEWARTS ALY,WASHINGTON,WATER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,ADAMS,FRANKLIN PL,FRONT,JAY,JOHN,MARSHALL,PEARL,PLYMOUTH,PROSPECT,SANDS,TALMAN,WASHINGTON,WATER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,BRG,FRANKLIN PL,FRONT,JAY,JOHN,MARSHALL,PHILLIPS ALY,PLYMOUTH,PROSPECT,PROSPECT TER,SANDS,TALMAN,WALDRON PL,WATER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ATLANTIC AVE,BOERUM PL,BRG,FULTON,GALLATIN PL,HOYT,JAY,LAWRENCE,LIVINGSTON,PEARL,RED HOOK LN,SCHERMERHORN,SMITH,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3 AVE,BOND,DEKALB AVE,DUFFIELD,ELM PL,FLATBUSH AVE,FULTON PL,FULTON,GOLD,GROVE PL,HANOVER PL,HOYT,LAFAYETTE AVE,LIVINGSTON,NAVY,NEVINS,SCHERMERHORN,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3 AVE,4 AVE,ATLANTIC AVE,FLATBUSH AVE,HANSON PL,NEVINS,PACIFIC,RAYMOND,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3 AVE,4 AVE,BERGEN,DEAN,NEVINS,PACIFIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,ATLANTIC AVE,BERGEN,BOND,DEAN,HOYT,NEVINS,PACIFIC,SCHERMERHORN,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,ATLANTIC AVE,BERGEN,BOND,DEAN,HOYT,PACIFIC,SMITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,AMITY,ATLANTIC AVE,BOERUM PL,CT,DEAN,PACIFIC,SMITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,ADAMS,BRG,CONCORD,GOTHIC ALY,HARTS ALY,HIGH,JAY,NASSAU,PEARL,SANDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,ADAMS,BRG,CHAPEL,CONCORD,HARPER CT,JAY,LAWRENCE PL,LAWRENCE,NUTRIA ALY,PEARL,STRYKER CT,TILLARY,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,ADAMS,BRG,FLOODS ALY,JAY,JOHNSON,LAWRENCE,MYRTLE AVE,PEARL,UNION LN,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,ADAMS,BRG,FLOODS ALY,JAY,JOHNSON,LAWRENCE,PEARL,TILLARY,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,ADAMS,BOERUM PL,BRG,FLOODS ALY,FULTON,GALLATIN PL,JAY,JORALEMON,LAWRENCE,MYRTLE AVE,PEARL,RED HOOK LN,SMITH,UNION LN,WASHINGTON,WILLOUGHBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,ADAMS,CLARK,CLINTON,CONCORD,CRANBERRY,FORCES PL,FULTON,GOTHIC ALY,HIGH,JOHNSON,LIBERTY,MIDDAGH,MONTAGUE,MUMBYS ALY,MYRTLE AVE,NASSAU,NAYLORS ALY,PIERREPONT,PINEAPPLE,SANDS,SNELLS ALY,SPRAGUES ALY,TILLARY,WASHINGTON PL,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,BRG,GOLD,HUDSON AVE,JOHN,LITTLE,MARSHALL,PLYMOUTH,UNITED STATES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,BRG,EVANS,FRONT,GOLD,HARRISON ALY,HUDSON AVE,JACKSON CT,LITTLE,PLYMOUTH,UNITED STATES,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,BRG,CHARLES,CORNELLS ALY,DUFFIELD,FRONT,GOLD,HARTS ALY,HIGH,NASSAU,PROSPECT,SANDS,TALMAN,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,BRG RD,CORNELLS ALY,DIXONS ALY,FRONT,GOLD,GREEN LN,HUDSON AVE,JACKSON CT,NAVY,PROSPECT,SANDS,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,BRG RD,CONCORD PL,CONCORD,DIXONS ALY,FLUSHING AVE,GOLD,GREEN LN,HIGH,HUDSON AVE,NASSAU PL,NASSAU,NAVY,NAVY YARD,PRINCE,SANDS,SMITHS ALY,WAY HOME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,BRG,CHAPEL,CONCORD,DUFFIELD,GOLD,JOHNSON,MATILDA PL,NASSAU,TILLARY,WAY HOME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,FLEET PL,GOLD,HUDSON AVE,JOHNSON,NAVY,PRINCE,TILLARY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,CONCORD PL,CONCORD,FLEET PL,GOLD,HUDSON AVE,NASSAU PL,NAVY,PARK AVE,PRINCE,PRINCE CT,TILLARY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,AMITY,ATLANTIC AVE,CLINTON,COLUMBIA PL,COLUMBIA,CT,EMMETT,FURMAN,HENRY,HICKS,PACIFIC,SMOKY HOLLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,AMITY,CLINTON,COLUMBIA,CONGRESS,CT,DEAN,EMMETT,HENRY,HICKS,PACIFIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,BALTIC,CANAL,CLINTON,COLUMBIA,CONGRESS,CT,HENRY,HICKS,VERANDAH PL,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,BALTIC,BUTLER,CHEEVER PL,CLINTON,CT,DEGRAW,DOUGLASS,HARRISON,HENRY,HICKS,STRONG PL,TOMPKINS PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,BALTIC,COLUMBIA,DEGRAW,HARRISON,HENRY,HICKS,IRVING,SEDGWICK,TIFFANY PL,VAN BRUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,BEACH PL,CHEEVER PL,CLINTON,COLUMBIA,CT,DEGRAW,EAST RIVER,FERRY PL,HENRY,HICKS,SACKETT,SEDGWICK,STRONG PL,TIFFANY PL,TOMPKINS PL,VAN BRUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,BEACH PL,CLINTON,COLUMBIA,CONOVER,CT,FERRY PL,HAMILTON AVE,HENRY,HICKS,PRESIDENT,SACKETT,UNION CT,UNION,VAN BRUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,CARROLL,COLUMBIA,CONOVER,HAMILTON AVE,HICKS,IMLAY,PRESIDENT,UNION,VAN BRUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1 PL,CARROLL,COLUMBIA,HAMILTON AVE,HENRY,HICKS,PRESIDENT,SUMMIT,VAN BRUNT,WOODHULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1 PL,2 PL,3 PL,CARROLL,CLINTON,CT,HENRY,PRESIDENT,RAPELYE,SUMMIT,WOODHULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2 PL,3 PL,4 PL,CLINTON,COLES,COLUMBIA,CT,HAMILTON AVE,HENRY,HICKS,MANHASSET PL,RAPELYE,SUMMIT,WOODHULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,BEDFORD AVE,FLUSHING AVE,FRANKLIN AVE,GRAHAM,KENT AVE,LITTLE NASSAU,MYRTLE AVE,PARK AVE,SKILLMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,CLASON AVE,FLUSHING AVE,GRAHAM,GRAND AVE,MYRTLE AVE,PARK AVE,RYERSON,SCHENCK,STEUBEN,WILLIAMSBURGH RD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,FLUSHING AVE,HALL,MYRTLE AVE,PARK AVE,RYERSON,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,DEKALB AVE,HALL,LAFAYETTE AVE,MYRTLE AVE,RYERSON,. JAMES PL,WASHINGTON AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
