ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59
50,CLASON AVE,DEKALB AVE,GRAHAM,GRAND AVE,KENT AVE,MYRTLE AVE,RYERSON,SCHENCK,STEUBEN,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,BEDFORD AVE,DEKALB AVE,FRANKLIN AVE,KENT AVE,MYRTLE AVE,PARK AVE,SKILLMAN,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,BEDFORD AVE,CLASON AVE,DEKALB AVE,FRANKLIN AVE,GRAHAM,KENT AVE,KOSCIUSKO PL,KOSCIUSKO,LAFAYETTE AVE,SKILLMAN,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,CLASON AVE,DEKALB AVE,GRAND AVE,LAFAYETTE AVE,RYERSON,SCHENCK,STEUBEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,BEDFORD AVE,CLASON AVE,CLIFTON PL,FRANKLIN AVE,GRAND AVE,GREENE AVE,LAFAYETTE AVE,LEXINGTON AVE,SKILLMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,BEDFORD AVE,CLASON AVE,DOWNING,FRANKLIN AVE,GATES AVE,GRAND AVE,IRVING PL,LEXINGTON AVE,QUINCY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,BEDFORD AVE,CLASON AVE,DOWNING,FRANKLIN AVE,GATES AVE,GRAND AVE,IRVING PL,MADISON,MONROE,ORMOND PL,PUTNAM AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,ATLANTIC AVE,BEDFORD AVE,BREVOORT PL,CLASON AVE,DOWNING,FRANKLIN AVE,FULTON,GRAND AVE,HANCOCK,HERKIMER,IRVING PL,JEFFERSON,LEFFERTS PL,ORMOND PL,PUTNAM AVE,SPENCER PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,CAMBRIDGE PL,CLIFTON PL,GATES AVE,GRAND AVE,GREENE AVE,LAFAYETTE AVE,LEXINGTON AVE,RYERSON,. JAMES PL,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,ATLANTIC AVE,CAMBRIDGE PL,FULTON,GATES AVE,GRAND AVE,LEFFERTS PL,PUTNAM AVE,. JAMES PL,UNDERHILL AVE,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,17,18,3 AVE,4 AVE,5 AVE,HAMILTON AVE,PROSPECT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,18,19,20,3 AVE,4 AVE,5 AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,17,18,19,20,21,22,23,24,5 AVE,6 AVE,PROSPECT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,10 LN,11 AVE,17,18,19,20,21,22,23,6 AVE,7 AVE,8 AVE,9 AVE,CITY LINE,JACKSON PL,PROSPECT AVE,WEBSTER PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,20,21,22,23,4 AVE,5 AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,20,21,22,23,3 AVE,4 AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,23,24,25,26,27,28,29,30,31,32,33,34,35,3 AVE,4 AVE,5 AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1 AVE,2 AVE,35,36,37,38,39,3 AVE,40,41,42,43,4 AVE,5 AVE,6 AVE,7 AVE,8 AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1 AVE,2 AVE,3 AVE,43,44,45,46,47,48,49,4 AVE,50,51,52,53,54,55,56,57,58,59,5 AVE,60,6 AVE,7 AVE,8 AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,5 AVE,6 AVE,ADELPHI,ATLANTIC AVE,CARLTON AVE,CUMBERLAND,DEAN,FLATBUSH AVE,FORT GREENE PL,S OXFORD,PACIFIC,PORTLAND AVE S,VANDERBILT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,6 AVE,BERGEN,CARLTON AVE,DEAN,FLATBUSH AVE,PARK PL,PROSPECT PL,. MARKS AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,8 AVE,9 AVE,BERGEN,BUTLER,CARLTON AVE,DEAN,DEGRAW,DOUGLASS,FLATBUSH AVE,GRAND ARMY PLZ,GRAND AVE,LINCOLN PL,PARADE PL,PARK PL,PARK WAY,E PLZ,W PLZ,PROSPECT PARK,PROSPECT PL,SACKETT,. JOHNS PL,. MARKS AVE,STERLING PL,UNDERHILL AVE,UNION,VANDERBILT AVE,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,ATLANTIC AVE,BERGEN,DEAN,GRAND AVE,PACIFIC,UNDERHILL AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,ATLANTIC AVE,BERGEN,CLASON AVE,DEAN,GRAND AVE,PACIFIC,PROSPECT PL,. MARKS AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,BERGEN,DEAN,GRAND AVE,PACIFIC,PARK PL,PROSPECT PL,. MARKS AVE,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,ATLANTIC AVE,BERGEN,BUTLER,CARROLL,CITY LINE,CLASON AVE,CROWN,DEAN,DEGRAW,DOUGLASS,FRANKLIN AVE,GRAND AVE,MONTGOMERY,PACIFIC,PARK PL,PARK WAY,PRESIDENT,PROSPECT PL,. MARKS AVE,UNION,WASHINGTON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,BERGEN,BOERUM PL,CONGRESS,CT,HOYT,SMITH,WARREN,WYCKOFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,BALTIC,BERGEN,BOND,HOYT,NEVINS,WARREN,WYCKOFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,3 AVE,4 AVE,BALTIC,BERGEN,NEVINS,WARREN,WYCKOFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1 LN,3 AVE,4 AVE,BALTIC,BUTLER,CARROLL,DEGRAW,DENTON PL,DOUGLASS,MACOMB,NEVINS,PRESIDENT,SACKETT,UNION,WHITWELL PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,BALTIC,BOND,BUTLER,CT,HARRISON,HOYT,SMITH,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,BUTLER,CT,DEGRAW,DOUGLASS,HOYT,SACKETT,SMITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,CT,DEGRAW,HOYT,PRESIDENT,SACKETT,SMITH,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1 PL,2 LN,CARROLL,CT,HOYT,PRESIDENT,SMITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1 PL,2 LN,2 PL,3 LN,3 PL,4 LN,4 PL,5 LN,BOND,CT,HOYT,SMITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,BALTIC,BOND,BUTLER,DEGRAW,DOUGLASS,HOYT,SACKETT,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1 LN,2 LN,3 AVE,BALTIC,BOND,BUTLER,CARROLL,DEGRAW,DOUGLASS,HOYT,NEVINS,PRESIDENT,SACKETT,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,BEDFORD,BRG,DUFFIELD,FLEET PL,GOLD,HUDSON AVE,JOHNSON,MYRTLE AVE,NAVY,PRINCE,RAYMOND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,AUBURN PL,BEDFORD,BOLIVAR,CANTON,DIVISION,FLEET,FLUSHING AVE,HUDSON AVE,JOHNSON,MYRTLE AVE,NAVY,NAVY YARD,PARK AVE,RAYMOND,SYCAMORE,TILLARY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,BOLIVAR,BRG,DUFFIELD,DUFFIELD TER,FAIR,FLEET PL,FLEET,GOLD,HUDSON AVE,MYRTLE AVE,PRINCE,WILLOUGHBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,BRG,DEBEVOISE PL,DEKALB AVE,DUFFIELD,ELM PL,FLEET PL,FLEET,FULTON PL,FULTON,GOLD,HOYT,HUDSON AVE,LAFAYETTE,PRINCE,WILLOUGHBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,BOLIVAR,BOND,CANTON,DEBEVOISE PL,DEKALB AVE,FLATBUSH AVE,FORT GREENE PL,FULTON PL,FULTON,GOLD,HANOVER PL,HUDSON AVE,LAFAYETTE,NAVY,RAYMOND,. FELIX,WILLOUGHBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,DEKALB AVE,FORT GREENE PL,FULTON,NAVY,RAYMOND,. FELIX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,3 AVE,CURRAN SQ,FLATBUSH AVE,FORT GREENE PL,FULTON,HANSON PL,HUDSON AVE,LAFAYETTE AVE,LIVINGSTON,NAVY,NEVINS,RAYMOND,SCHERMERHORN,. FELIX,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,5 AVE,ATLANTIC AVE,CURRAN SQ,DEKALB AVE,ELLIOTT S PL,FLATBUSH AVE,FORT GREENE PL,FULTON,HANSON PL,LAFAYETTE AVE,PORTLAND AVE S,. FELIX,WILLOUGHBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,AUBURN PL,CANTON,DIVISION,ELLIOTT N PL,FLUSHING AVE,MYRTLE AVE,NAVY YARD,PARK AVE,PORTLAND AVE N,TILLARY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,BAY,BOMPJES HOOK WHARF,BRYANT,BUSH,CLINTON,COLUMBIA,CONOVER,CT,CUBA,DIKEMAN,DWIGHT,ELIZABETH,FERRIS,GRINNELL,HALLECK,HICKS,LORRAINE,OREGON,OTSEGO,PARTITION,PERCIVAL,REID,RICHARDS,SIGOURNEY,SULLIVAN,VAN BRUNT,VANDYKE,WHARF,WOLCOTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,CONOVER,DIKEMAN,ELIZABETH,FERRIS,PARTITION,RICHARDS,VAN BRUNT,VANDYKE,WOLCOTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,CONOVER,FERRIS,IMLAY,KING,RICHARDS,SULLIVAN,TREMONT,VAN BRUNT,VERONA,WILLIAM,WOLCOTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,BOWNE,CARROLL,COLES,COLUMBIA,COMMERCE,CONOVER,DELEVAN,DWIGHT,FERRIS,HAMILTON AVE,HICKS,IMLAY,INDIA WHARF,PRESIDENT,RAPELYE,RICHARDS,SACKETT,SEABRING,SUMMIT,TREMONT,VAN BRUNT,VERONA,WILLIAM,WOODHULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,BUSH,CENTRE,CHURCH,COLES,COLUMBIA,COMMERCE,DELEVAN,DWIGHT,GARNET,HAMILTON AVE,HENRY,HICKS,HUNTINGTON,KING,LUQUER,MILL,NELSON,OTSEGO,RICHARDS,SEABRING,SULLIVAN,TREMONT,VERONA,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
